Entity ID,Appearance #,Gloss,Context (±2 signs)
11,1,$INDEX1*,$INDEX1* ICH1 $INDEX1
11,2,$INDEX1,$INDEX1* ICH1 $INDEX1 ERSTENS1C VORSTAND2*
11,3,$INDEX1*,VORSTAND2* FRÜHER1* $INDEX1*
18,1,AUSSENSEITER1*,AUSSENSEITER1* $INDEX1 ENGAGIEREN-SICH1
18,2,$INDEX1,AUSSENSEITER1* $INDEX1 ENGAGIEREN-SICH1 ALLE2A*
77,1,VEREIN2A,DAZU1* GARTEN7* VEREIN2A GRILLEN1A* FEIERN1B^*
77,2,GRILLEN1A*,GARTEN7* VEREIN2A GRILLEN1A* FEIERN1B^* $INDEX1*
77,3,$INDEX1*,GRILLEN1A* FEIERN1B^* $INDEX1* MIETE2* BILLIG5
77,4,$INDEX1*,MIETE2* BILLIG5 $INDEX1*
84,1,$INDEX1*,$INDEX1* GELD1A VEREIN2A*
84,2,$INDEX1,VEREIN2A VERDIENEN1 $INDEX1 $GEST-OFF^*
145,1,$INDEX1,$INDEX1 $NUM-EINER1A:2d BERG1A
145,2,$NUM-EINER1A:2d,$INDEX1 $NUM-EINER1A:2d BERG1A DORT1*
172,1,BAHNHOF1^,REICH5 BREIT1 BAHNHOF1^ $INDEX1* BREIT1
172,2,$INDEX1*,BREIT1 BAHNHOF1^ $INDEX1* BREIT1 $PROD*
179,1,NATUR3*,VERSCHIEDEN2A* RUTSCHEN4^* NATUR3* $INDEX1* RUTSCHEN4^*
179,2,$INDEX1*,RUTSCHEN4^* NATUR3* $INDEX1* RUTSCHEN4^* VERSCHIEDEN2A
200,1,DA1*,BOWLING3 $NUM-EINER1A:2d DA1* $NUM-EINER1A:2d* FEIERN1*
200,2,$INDEX1*,UNTERHALTUNG2A ALLE1A^ $INDEX1*
224,1,BAU1*,SPENDEN2A* SAMMELN1* BAU1* $INDEX1 SCHLUSS2B
224,2,$INDEX1,SAMMELN1* BAU1* $INDEX1 SCHLUSS2B
232,1,ERFURT1*,NEIN2B* ERFURT1* ICH1 ERFURT1*
232,2,ERFURT1*,ERFURT1* ICH1 ERFURT1* DORT1* ENDE1^*
232,3,DORT1*,ICH1 ERFURT1* DORT1* ENDE1^*
242,1,KONZENTRATIONSLAGER1*,AUFKLAPPEN-BUCH1^ FARBEN17A^* KONZENTRATIONSLAGER1* PARKEN1^* $INDEX1*
242,2,$INDEX1*,KONZENTRATIONSLAGER1* PARKEN1^* $INDEX1* KONZENTRATIONSLAGER1 PARKEN1^
270,1,$INDEX1*,MIT1A* AUSFLUG5* $INDEX1* SCHIFF1 $INDEX1*
270,2,SCHIFF1,AUSFLUG5* $INDEX1* SCHIFF1 $INDEX1*
270,3,$INDEX1*,$INDEX1* SCHIFF1 $INDEX1*
291,1,$INDEX1*,$INDEX1* FLACH3B^* KLAPPE1A^*
291,2,$INDEX1*,FLACH3B^* KLAPPE1A^* $INDEX1* KLAPPE1A^* ZU7^*
316,1,ZAHN1*,VIEL1B HAKEN1^* ZAHN1* $INDEX1* KETTE1*
316,2,$INDEX1*,HAKEN1^* ZAHN1* $INDEX1* KETTE1* FAHRRAD1*
337,1,AUSFLUG5*,UNTEN2^* GEHEN1A* AUSFLUG5* $INDEX1 $GEST-OFF^*
337,2,$INDEX1,GEHEN1A* AUSFLUG5* $INDEX1 $GEST-OFF^* ENDE1^*
