Entity ID,Appearance #,Gloss,Context (±2 signs)
1,1,ICH1,$GEST-OFF^* ICH1 $GEST-OFF^ AUFWACHSEN1A
1,2,ICH2,$GEST-OFF^ AUFWACHSEN1A ICH2 AUFWACHSEN1A $GEST-OFF^
1,3,ICH2,AUFWACHSEN1A $GEST-OFF^ ICH2 AUFWACHSEN1A WIE-IMMER1*
1,4,ICH1*,TAUB-GEHÖRLOS1A* GEBÄRDEN1A* ICH1*
1,5,ICH1,AUFWACHSEN1A BIS1 ICH1 $NUM-TEEN1:5 ALT5A
1,6,ICH1,ICH1 AUFWACHSEN1A BIS1
1,7,ICH1,$NUM-TEEN1:5 ALT5B ICH1
49,1,ICH1,ICH1 INTERESSE1B SPASS1
59,1,VEREIN2A,DARF1 NICHT3A VEREIN2A $INDEX1
59,2,$INDEX1,NICHT3A VEREIN2A $INDEX1
68,1,$INDEX1,$INDEX1 JUNG2 LEITEN1B
68,2,JUNG2,$INDEX1 JUNG2 LEITEN1B $INDEX1
68,3,LEITEN1B,$INDEX1 JUNG2 LEITEN1B $INDEX1 ZUSAMMEN1A*
68,4,$INDEX1,JUNG2 LEITEN1B $INDEX1 ZUSAMMEN1A* PFLEGE1
79,1,ICH1,INTERESSE1B ERWACHSENE2A* ICH1 SPASS1 UNTERHALTUNG2A
83,1,ERFAHRUNG2B,MEHR1* ERFAHRUNG2B $INDEX1 ICH2
83,2,$INDEX1,MEHR1* ERFAHRUNG2B $INDEX1 ICH2 UNTERHALTUNG2A
95,1,ICH2,EINMAL1B SAMSTAG1 ICH2 ZUSAMMEN1A* AUSFLUG2*
135,1,ICH1,SPÄTER10* UM2A ICH1 KEGELN1
147,1,ICH2,BIS1* ICH2 KNIE1B FERTIG1B
153,1,ICH2,$GEST-OFF^* EINMAL1B ICH2 WAR1* HAMBURG1
153,2,ICH1,HAMBURG1 DORT1 ICH1 HAMBURG1* DORT1
153,3,ICH1,DEUTSCH1 MEISTERSCHAFT1 ICH1 DORTHIN-GEHEN1*
167,1,ICH2,SCHWIMMEN1* ICH2 $PROD* SCHWIMMEN1
171,1,ICH1,ICH1 GRENZE1A^* LOS-START2
177,1,ICH2*,ICH2* FALLEN1^ ICH2*
179,1,ICH2*,ICH2* FALLEN1^ ICH2* LAUFEN3^ ICH1
193,1,ICH1,ICH1 ATEMNOT1
199,1,ICH1*,BEIDE2A* ICH1* LAUFEN8* FALLEN2A^*
238,1,ICH1,$NUM-ZEHNER1:2 ALT5A ICH1
245,1,ICH1*,$GEST-NM-KOPFNICKEN1^ ICH1* SPASS1
247,1,WASSER1,WASSER1 $INDEX1 FRISCH1
247,2,$INDEX1,WASSER1 $INDEX1 FRISCH1 IMMER4A*
257,1,ICH1*,ICH1* GERN1 ICH2
257,2,ICH2,ICH1* GERN1 ICH2 HEUTE1 NOCH4A*
